Quarter,Percentage Change (%),Volume,Volatility,Quarter ROI (%),ROI on $1500 ($),Growth Factor,Cumulative ROI on $1500 ($),Sector
2020Q1,-46.5697349053629,1141243400.0,15.499542882812468,-46.26087607138447,-693.9133333333333,0.5373912392861553,806.0866666666667,Oil
2020Q2,26.6715229012807,1045309066.6666666,4.653131701058637,31.00303185563766,465.0466666666666,1.3100303185563764,1271.1333333333334,Oil
2020Q3,-19.31777694839825,847802933.3333334,3.9278787638430455,-21.549050611019947,-323.2366666666667,0.7845094938898005,947.8966666666666,Oil
2020Q4,22.933655162500674,1145599033.3333333,5.684852665808722,21.38702392392724,320.80333333333334,1.2138702392392724,1268.7,Oil
2021Q1,31.702665129389036,1107945300.0,6.416263924171602,29.51590228576404,442.74,1.2951590228576404,1711.4399999999998,Oil
2021Q2,6.468289182470021,883882533.3333334,3.067994453300891,8.718305137631079,130.77333333333334,1.0871830513763108,1842.2133333333334,Oil
2021Q3,0.30061768482387663,848567266.6666666,3.0275835565272917,-1.8681470234380226,-28.02333333333333,0.9813185297656197,1814.1899999999998,Oil
2021Q4,4.87864077290983,818031500.0,2.46067920925312,7.784905853908945,116.77333333333333,1.0778490585390894,1930.9633333333334,Oil
2020Q1,-9.489268383331657,1808848190.6666667,4.225181935525582,-10.5536798438407,-158.30666666666667,0.8944632015615929,1341.6933333333334,Telecom
2020Q2,11.721598153647923,1607944362.3333333,3.2541846277899444,12.34175235614859,185.12666666666667,1.1234175235614858,1526.82,Telecom
2020Q3,3.4968170189878065,1310535717.3333333,2.2783438612581044,3.6079035873632144,54.11666666666667,1.036079035873632,1580.9366666666665,Telecom
2020Q4,4.191255210744968,1567468072.0,3.609486052378371,5.66937003574941,85.04,1.056693700357494,1665.9766666666667,Telecom
2021Q1,-0.9438113096368502,1729879386.6666667,1.9844454182073576,-1.696152765606291,-25.44333333333333,0.983038472343937,1640.5333333333335,Telecom
2021Q2,1.1531080248371344,1681986209.6666667,2.6366099614176863,2.271469745522413,34.07,1.0227146974552241,1674.6033333333332,Telecom
2021Q3,-6.712992501827821,1315959484.0,2.793035279508375,-7.326421695655866,-109.89666666666666,0.9267357830434414,1564.7066666666667,Telecom
2021Q4,-6.976488976154201,2050336493.0,1.9166696799822567,-7.302315110262456,-109.53333333333335,0.9269768488973754,1455.1733333333334,Telecom
