index,Date,Company,Open,High,Low,Close,Adj Close,Volume,Year,Quarter
786,2021-02-12,Chevron,91.52999877929688,92.7300033569336,91.3499984741211,92.55000305175781,79.09943389892578,7858300,2021,2021Q1
787,2021-02-16,Chevron,93.05000305175781,93.86000061035156,92.61000061035156,93.12999725341797,80.72026062011719,14006000,2021,2021Q1
788,2021-02-17,Chevron,95.41999816894531,96.72000122070312,94.19999694824219,95.91999816894531,83.13850402832031,14342300,2021,2021Q1
789,2021-02-18,Chevron,95.75,95.77999877929688,94.30000305175781,95.0,82.34109497070312,9030600,2021,2021Q1
790,2021-02-19,Chevron,95.12999725341797,96.37999725341797,94.6500015258789,95.80000305175781,83.03449249267578,8913900,2021,2021Q1
791,2021-02-22,Chevron,96.98999786376953,99.63999938964844,96.45999908447266,98.38999938964844,85.27936553955078,13178700,2021,2021Q1
792,2021-02-23,Chevron,99.97000122070312,100.16000366210938,96.80000305175781,99.62999725341797,86.35413360595703,14874000,2021,2021Q1
793,2021-02-24,Chevron,100.33000183105469,104.04000091552734,99.80999755859375,103.30999755859375,89.54376220703125,16116000,2021,2021Q1
794,2021-02-25,Chevron,104.9000015258789,104.95999908447266,101.58999633789062,102.3499984741211,88.7116928100586,13219200,2021,2021Q1
795,2021-02-26,Chevron,100.30000305175781,101.05999755859375,97.61000061035156,100.0,86.67483520507812,14454100,2021,2021Q1
796,2021-03-01,Chevron,102.45999908447266,103.80000305175781,101.4000015258789,102.05000305175781,88.45166778564453,10439900,2021,2021Q1
797,2021-03-02,Chevron,101.88999938964844,103.30999755859375,101.70999908447266,102.44000244140625,88.78968811035156,10643500,2021,2021Q1
798,2021-03-03,Chevron,103.41000366210938,105.75,103.4000015258789,103.58999633789062,89.78644561767578,14958200,2021,2021Q1
799,2021-03-04,Chevron,104.5199966430664,107.58000183105469,103.12999725341797,104.5,90.57521057128906,22994200,2021,2021Q1
800,2021-03-05,Chevron,106.95999908447266,109.12999725341797,106.1500015258789,109.0,94.47557067871094,23638200,2021,2021Q1
801,2021-03-08,Chevron,109.86000061035156,110.43000030517578,108.05999755859375,109.75,95.12561798095703,18033600,2021,2021Q1
802,2021-03-09,Chevron,109.06999969482422,110.69000244140625,107.87999725341797,109.5,94.908935546875,19010700,2021,2021Q1
803,2021-03-10,Chevron,110.19999694824219,112.01000213623047,109.69999694824219,111.37000274658203,96.52976989746094,17389900,2021,2021Q1
804,2021-03-11,Chevron,111.6500015258789,112.55000305175781,110.88999938964844,111.19000244140625,96.37374114990234,10989500,2021,2021Q1
805,2021-03-12,Chevron,111.63999938964844,112.69999694824219,110.72000122070312,111.55999755859375,96.69442749023438,10930300,2021,2021Q1
806,2021-03-15,Chevron,111.52999877929688,111.91000366210938,108.88999938964844,110.25,95.55900573730469,10488000,2021,2021Q1
807,2021-03-16,Chevron,108.52999877929688,108.87999725341797,107.08000183105469,107.63999938964844,93.29678344726562,11698400,2021,2021Q1
808,2021-03-17,Chevron,107.20999908447266,108.55999755859375,106.5999984741211,108.02999877929688,93.63481140136719,9168600,2021,2021Q1
809,2021-03-18,Chevron,107.01000213623047,107.52999877929688,103.70999908447266,104.12000274658203,90.24583435058594,13246600,2021,2021Q1
810,2021-03-19,Chevron,103.94000244140625,104.88999938964844,102.73999786376953,103.37999725341797,89.60442352294922,18491000,2021,2021Q1
811,2021-03-22,Chevron,103.05999755859375,104.5,102.30999755859375,102.54000091552734,88.8763656616211,12508500,2021,2021Q1
812,2021-03-23,Chevron,101.44999694824219,104.30000305175781,100.69000244140625,101.97000122070312,88.38233184814453,14781700,2021,2021Q1
813,2021-03-24,Chevron,102.98999786376953,105.76000213623047,102.91000366210938,104.69999694824219,90.74853515625,11026800,2021,2021Q1
814,2021-03-25,Chevron,102.8499984741211,105.26000213623047,102.06999969482422,105.06999969482422,91.0692367553711,11138200,2021,2021Q1
815,2021-03-26,Chevron,106.54000091552734,107.54000091552734,105.36000061035156,107.4800033569336,93.1581039428711,9820200,2021,2021Q1
816,2021-03-29,Chevron,106.4000015258789,107.52999877929688,105.69999694824219,106.91999816894531,92.6727294921875,7542300,2021,2021Q1
817,2021-03-30,Chevron,106.05999755859375,106.83000183105469,105.58999633789062,105.93000030517578,91.81464385986328,6284600,2021,2021Q1
818,2021-03-31,Chevron,105.55000305175781,106.22000122070312,104.5999984741211,104.79000091552734,90.82655334472656,8954400,2021,2021Q1
819,2021-04-01,Chevron,105.26000213623047,105.86000061035156,104.20999908447266,105.75,91.65863800048828,8515800,2021,2021Q2
820,2021-04-05,Chevron,105.7300033569336,105.83000183105469,104.16999816894531,104.51000213623047,90.58386993408203,8692700,2021,2021Q2
821,2021-04-06,Chevron,104.25,105.08000183105469,103.44999694824219,103.58000183105469,89.77779388427734,8125100,2021,2021Q2
822,2021-04-07,Chevron,103.47000122070312,104.56999969482422,103.26000213623047,104.19000244140625,90.3064956665039,7699300,2021,2021Q2
823,2021-04-08,Chevron,103.5199966430664,103.62000274658203,102.06999969482422,103.0199966430664,89.29240417480469,8283000,2021,2021Q2
824,2021-04-09,Chevron,103.12000274658203,103.68000030517578,102.0999984741211,102.91999816894531,89.20571899414062,7163700,2021,2021Q2
825,2021-04-12,Chevron,103.66999816894531,103.86000061035156,101.51000213623047,101.77999877929688,88.21763610839844,7845900,2021,2021Q2
826,2021-04-13,Chevron,101.55999755859375,102.5999984741211,101.29000091552734,102.23999786376953,88.6163330078125,6829900,2021,2021Q2
827,2021-04-14,Chevron,102.6500015258789,105.33000183105469,102.5999984741211,104.2699966430664,90.37583923339844,10194800,2021,2021Q2
828,2021-04-15,Chevron,104.01000213623047,104.2699966430664,102.93000030517578,103.41999816894531,89.63910675048828,7860500,2021,2021Q2
829,2021-04-16,Chevron,103.80000305175781,104.36000061035156,102.43000030517578,102.95999908447266,89.2403793334961,7459700,2021,2021Q2
830,2021-04-19,Chevron,103.2699966430664,103.83000183105469,102.20999908447266,103.26000213623047,89.50043487548828,7068700,2021,2021Q2
831,2021-04-20,Chevron,102.83000183105469,102.98999786376953,100.51000213623047,101.33000183105469,87.82759857177734,9783800,2021,2021Q2
832,2021-04-21,Chevron,100.33000183105469,102.98999786376953,100.13999938964844,102.7300033569336,89.04104614257812,8264400,2021,2021Q2
833,2021-04-22,Chevron,102.87000274658203,102.87000274658203,100.87000274658203,100.94999694824219,87.49822998046875,9899400,2021,2021Q2
834,2021-04-23,Chevron,101.0999984741211,102.16999816894531,100.72000122070312,101.55000305175781,88.01829528808594,6756000,2021,2021Q2
835,2021-04-26,Chevron,101.2699966430664,102.66999816894531,101.26000213623047,101.5199966430664,87.99227905273438,5639700,2021,2021Q2
836,2021-04-27,Chevron,101.80999755859375,103.0999984741211,101.51000213623047,102.69999694824219,89.0150375366211,6898900,2021,2021Q2
837,2021-04-28,Chevron,103.54000091552734,105.86000061035156,103.37000274658203,105.22000122070312,91.19924926757812,8718400,2021,2021Q2
838,2021-04-29,Chevron,106.41999816894531,107.6500015258789,105.75,106.9000015258789,92.65538787841797,9740300,2021,2021Q2
839,2021-04-30,Chevron,104.9800033569336,105.38999938964844,102.97000122070312,103.06999969482422,89.33574676513672,13730000,2021,2021Q2
840,2021-05-03,Chevron,103.9800033569336,105.72000122070312,103.22000122070312,105.52999877929688,91.46794128417969,7938100,2021,2021Q2
841,2021-05-04,Chevron,105.95999908447266,106.51000213623047,104.8499984741211,106.11000061035156,91.97066497802734,8704300,2021,2021Q2
842,2021-05-05,Chevron,107.08999633789062,109.54000091552734,106.81999969482422,108.95999908447266,94.44090270996094,12872400,2021,2021Q2
843,2021-05-06,Chevron,108.94999694824219,109.12999725341797,107.41999816894531,109.0199966430664,94.49290466308594,9654900,2021,2021Q2
844,2021-05-07,Chevron,108.08999633789062,110.66999816894531,107.69999694824219,110.0199966430664,95.3596420288086,10273000,2021,2021Q2
845,2021-05-10,Chevron,111.44000244140625,113.11000061035156,109.5199966430664,109.56999969482422,94.9696044921875,13586500,2021,2021Q2
846,2021-05-11,Chevron,109.05999755859375,109.58000183105469,106.20999908447266,106.69999694824219,92.48204040527344,12754800,2021,2021Q2
847,2021-05-12,Chevron,107.0,110.1500015258789,106.72000122070312,107.37000274658203,93.06275939941406,11661900,2021,2021Q2
848,2021-05-13,Chevron,106.06999969482422,107.87000274658203,105.44000244140625,106.68000030517578,92.46470642089844,9706300,2021,2021Q2
849,2021-05-14,Chevron,107.80000305175781,109.81999969482422,107.80000305175781,109.47000122070312,94.8829345703125,9124100,2021,2021Q2
850,2021-05-17,Chevron,109.08999633789062,110.87999725341797,108.97000122070312,110.80999755859375,96.04437255859375,12692900,2021,2021Q2
851,2021-05-18,Chevron,108.94000244140625,109.05999755859375,105.97000122070312,106.18000030517578,93.15788269042969,12759900,2021,2021Q2
852,2021-05-19,Chevron,103.81999969482422,104.29000091552734,101.97000122070312,103.19999694824219,90.54334259033203,14762700,2021,2021Q2
853,2021-05-20,Chevron,103.06999969482422,104.06999969482422,101.97000122070312,103.55999755859375,90.85919189453125,9706300,2021,2021Q2
854,2021-05-21,Chevron,104.0999984741211,105.19999694824219,103.68000030517578,104.12000274658203,91.35050964355469,10352800,2021,2021Q2
855,2021-05-24,Chevron,104.94999694824219,105.83999633789062,104.0,105.5999984741211,92.64900970458984,6785600,2021,2021Q2
856,2021-05-25,Chevron,105.43000030517578,105.62000274658203,103.61000061035156,103.87000274658203,91.13116455078125,7884000,2021,2021Q2
857,2021-05-26,Chevron,104.5199966430664,104.91000366210938,103.66000366210938,104.12000274658203,91.35050964355469,9232400,2021,2021Q2
858,2021-05-27,Chevron,104.12000274658203,104.91000366210938,102.56999969482422,103.01000213623047,90.37664794921875,11703400,2021,2021Q2
859,2021-05-28,Chevron,103.62000274658203,104.12000274658203,102.94999694824219,103.79000091552734,91.06098937988281,7278200,2021,2021Q2
860,2021-06-01,Chevron,105.30000305175781,107.43000030517578,105.30000305175781,106.6500015258789,93.57023620605469,10260600,2021,2021Q2
861,2021-06-02,Chevron,107.20999908447266,108.55999755859375,106.20999908447266,108.08000183105469,94.82485961914062,9141800,2021,2021Q2
862,2021-06-03,Chevron,107.55999755859375,108.08999633789062,106.55999755859375,107.58999633789062,94.39495086669922,8809300,2021,2021Q2
863,2021-06-04,Chevron,108.23999786376953,108.66999816894531,107.20999908447266,108.44999694824219,95.14945983886719,6699300,2021,2021Q2
864,2021-06-07,Chevron,108.37000274658203,108.69999694824219,107.56999969482422,107.75,94.53530883789062,6748600,2021,2021Q2
865,2021-06-08,Chevron,107.6500015258789,108.9800033569336,106.30000305175781,108.7300033569336,95.39513397216797,10559500,2021,2021Q2
866,2021-06-09,Chevron,109.05999755859375,109.52999877929688,107.6500015258789,107.77999877929688,94.5616455078125,10146900,2021,2021Q2
867,2021-06-10,Chevron,109.05999755859375,110.25,107.25,108.41000366210938,95.11439514160156,13526200,2021,2021Q2
868,2021-06-11,Chevron,108.83999633789062,108.97000122070312,107.86000061035156,107.91000366210938,94.67570495605469,7731700,2021,2021Q2
869,2021-06-14,Chevron,108.18000030517578,108.95999908447266,106.83000183105469,107.97000122070312,94.72833251953125,9051900,2021,2021Q2
870,2021-06-15,Chevron,108.41000366210938,110.4800033569336,108.38999938964844,110.30000305175781,96.77259063720703,10540200,2021,2021Q2
871,2021-06-16,Chevron,110.02999877929688,110.51000213623047,108.9000015258789,109.66999816894531,96.21983337402344,9283300,2021,2021Q2
872,2021-06-17,Chevron,109.23999786376953,109.9800033569336,96.30999755859375,107.06999969482422,93.93871307373047,14337800,2021,2021Q2
873,2021-06-18,Chevron,105.25,106.2699966430664,102.91000366210938,103.02999877929688,90.3941879272461,22284500,2021,2021Q2
874,2021-06-21,Chevron,104.0999984741211,106.44000244140625,103.93000030517578,106.05000305175781,93.0438232421875,13591500,2021,2021Q2
875,2021-06-22,Chevron,105.33000183105469,106.95999908447266,104.30999755859375,106.4000015258789,93.35088348388672,10230100,2021,2021Q2
876,2021-06-23,Chevron,107.36000061035156,108.12999725341797,106.2300033569336,106.2699966430664,93.23682403564453,7792800,2021,2021Q2
877,2021-06-24,Chevron,107.13999938964844,107.77999877929688,106.36000061035156,107.13999938964844,94.00013732910156,8724600,2021,2021Q2
878,2021-06-25,Chevron,107.58999633789062,108.05999755859375,106.77999877929688,107.30000305175781,94.1405029296875,8102300,2021,2021Q2
879,2021-06-28,Chevron,106.94999694824219,107.0,103.66000366210938,103.98999786376953,91.2364501953125,11348400,2021,2021Q2
880,2021-06-29,Chevron,104.58999633789062,104.97000122070312,103.61000061035156,103.76000213623047,91.03465270996094,7225500,2021,2021Q2
881,2021-06-30,Chevron,103.83999633789062,104.87999725341797,103.72000122070312,104.73999786376953,91.89447021484375,7927500,2021,2021Q2
882,2021-07-01,Chevron,106.94999694824219,107.0999984741211,105.73999786376953,106.20999908447266,93.18418884277344,10873200,2021,2021Q3
883,2021-07-02,Chevron,105.69999694824219,106.4000015258789,105.04000091552734,106.06999969482422,93.06134796142578,7107700,2021,2021Q3
884,2021-07-06,Chevron,105.97000122070312,105.97000122070312,103.38999938964844,103.98999786376953,91.2364501953125,10162800,2021,2021Q3
885,2021-07-07,Chevron,103.95999908447266,104.9000015258789,102.12000274658203,102.93000030517578,90.30644989013672,8245000,2021,2021Q3
886,2021-07-08,Chevron,101.5,103.08999633789062,101.22000122070312,102.5999984741211,90.01692199707031,8695500,2021,2021Q3
887,2021-07-09,Chevron,103.45999908447266,104.2300033569336,102.36000061035156,104.06999969482422,91.306640625,8567900,2021,2021Q3
888,2021-07-12,Chevron,103.55999755859375,105.0199966430664,103.23999786376953,104.27999877929688,91.49087524414062,9898600,2021,2021Q3
889,2021-07-13,Chevron,104.0,104.58000183105469,103.22000122070312,103.93000030517578,91.18379974365234,6738000,2021,2021Q3
890,2021-07-14,Chevron,104.4800033569336,105.31999969482422,101.72000122070312,101.97000122070312,89.46419525146484,9216600,2021,2021Q3
