Quarter,Open,High,Low,Close,Adj Close,Volume,Year,Sector
2020Q1,68.55768788245416,69.54564514980521,67.17311829392628,68.301344051156,55.6729458737117,18407151.612903226,2020.0,Oil
2020Q2,58.37851868483125,59.53862438504658,57.07068789446795,58.27476211830422,48.16343300430863,16592207.407407407,2020.0,Oil
2020Q3,54.437552193800606,55.150364538033806,53.62562511364619,54.29124995072683,45.52869215607643,13246920.833333334,2020.0,Oil
2020Q4,51.74989583094915,52.63406227032343,50.92286470532417,51.771823128064476,44.15592391292254,17899984.895833332,2020.0,Oil
2021Q1,66.32196726564501,67.3416393259184,65.42715829317687,66.45355176665092,57.503470165481986,18163037.704918034,2021.0,Oil
2021Q2,73.68333322030527,74.5098941540592,72.82164025685144,73.66809530106802,64.50485320318313,14029881.481481481,2021.0,Oil
2021Q3,71.51921858390172,72.32703119516373,70.79223942756653,71.47979150215785,63.35884288946787,13258863.541666666,2021.0,Oil
2021Q4,82.91640621423721,83.82484354575475,82.1586456100146,82.98442695538203,74.39342200756073,12781742.1875,2021.0,Oil
2020Q1,56.23438918205999,57.196717703214254,55.4003598818215,56.38253634463074,48.712818955862396,29174970.8172043,2020.0,Telecom
2020Q2,58.25147943648081,59.047035136550825,57.451612613819265,58.29487174907059,51.38041093614366,25522926.386243388,2020.0,Telecom
2020Q3,63.74462487300237,64.30966208378474,63.20344391465187,63.76404681801796,56.96844740708669,20477120.583333332,2020.0,Telecom
2020Q4,68.20366627971332,68.78590791424115,67.5667658050855,68.16534334421158,61.57562425235907,24491688.625,2020.0,Telecom
2021Q1,68.28055931049617,68.99694867993965,67.44730376154999,68.1789666264435,62.03121859649492,28358678.469945356,2021.0,Telecom
2021Q2,72.6074690944934,73.16090227561023,72.10144743339094,72.6726372431195,66.64481229630728,26698193.804232806,2021.0,Telecom
2021Q3,71.94386038184166,72.42030882835388,71.42173902193706,71.86993125081062,66.3942312002182,20561866.9375,2021.0,Telecom
2021Q4,62.994056671857834,63.54340234398842,62.31423111756643,62.84589463472366,58.12215087811152,32036507.703125,2021.0,Telecom
